sample_id,class_id,model_index,original_class_id,source,source_version,signer_id,consent_id,split,raw_path,landmark_path,quality_status,training_status,manual_selectable,risk_tier
signer0_sample48,kotu,12,122,AUTSL,AUTSL_OpenHands_pose_v1,signer0,dataset_license,train,AUTSL/train_poses/signer0_sample48_color.pkl,processed/autsl20/landmark46-v1/train/signer0_sample48.npz,approved,trainable,true,standard
signer0_sample52,iyi,10,100,AUTSL,AUTSL_OpenHands_pose_v1,signer0,dataset_license,train,AUTSL/train_poses/signer0_sample52_color.pkl,processed/autsl20/landmark46-v1/train/signer0_sample52.npz,approved,trainable,true,standard
signer0_sample55,tuvalet,16,200,AUTSL,AUTSL_OpenHands_pose_v1,signer0,dataset_license,train,AUTSL/train_poses/signer0_sample55_color.pkl,processed/autsl20/landmark46-v1/train/signer0_sample55.npz,approved,trainable,true,standard
signer0_sample71,icmek,7,94,AUTSL,AUTSL_OpenHands_pose_v1,signer0,dataset_license,train,AUTSL/train_poses/signer0_sample71_color.pkl,processed/autsl20/landmark46-v1/train/signer0_sample71.npz,approved,trainable,true,standard
signer0_sample84,yorgun,19,222,AUTSL,AUTSL_OpenHands_pose_v1,signer0,dataset_license,train,AUTSL/train_poses/signer0_sample84_color.pkl,processed/autsl20/landmark46-v1/train/signer0_sample84.npz,approved,trainable,true,standard
signer0_sample91,doktor,0,52,AUTSL,AUTSL_OpenHands_pose_v1,signer0,dataset_license,train,AUTSL/train_poses/signer0_sample91_color.pkl,processed/autsl20/landmark46-v1/train/signer0_sample91.npz,approved,trainable,true,standard
signer0_sample104,eczane,1,58,AUTSL,AUTSL_OpenHands_pose_v1,signer0,dataset_license,train,AUTSL/train_poses/signer0_sample104_color.pkl,processed/autsl20/landmark46-v1/train/signer0_sample104.npz,approved,trainable,true,standard
signer0_sample105,yorgun,19,222,AUTSL,AUTSL_OpenHands_pose_v1,signer0,dataset_license,train,AUTSL/train_poses/signer0_sample105_color.pkl,processed/autsl20/landmark46-v1/train/signer0_sample105.npz,approved,trainable,true,standard
signer0_sample107,icmek,7,94,AUTSL,AUTSL_OpenHands_pose_v1,signer0,dataset_license,train,AUTSL/train_poses/signer0_sample107_color.pkl,processed/autsl20/landmark46-v1/train/signer0_sample107.npz,approved,trainable,true,standard
signer0_sample132,yorgun,19,222,AUTSL,AUTSL_OpenHands_pose_v1,signer0,dataset_license,train,AUTSL/train_poses/signer0_sample132_color.pkl,processed/autsl20/landmark46-v1/train/signer0_sample132.npz,approved,trainable,true,standard
signer0_sample137,hastane,5,83,AUTSL,AUTSL_OpenHands_pose_v1,signer0,dataset_license,train,AUTSL/train_poses/signer0_sample137_color.pkl,processed/autsl20/landmark46-v1/train/signer0_sample137.npz,approved,trainable,true,standard
signer0_sample144,eczane,1,58,AUTSL,AUTSL_OpenHands_pose_v1,signer0,dataset_license,train,AUTSL/train_poses/signer0_sample144_color.pkl,processed/autsl20/landmark46-v1/train/signer0_sample144.npz,approved,trainable,true,standard
signer0_sample183,kotu,12,122,AUTSL,AUTSL_OpenHands_pose_v1,signer0,dataset_license,train,AUTSL/train_poses/signer0_sample183_color.pkl,processed/autsl20/landmark46-v1/train/signer0_sample183.npz,approved,trainable,true,standard
signer0_sample195,igne,8,95,AUTSL,AUTSL_OpenHands_pose_v1,signer0,dataset_license,train,AUTSL/train_poses/signer0_sample195_color.pkl,processed/autsl20/landmark46-v1/train/signer0_sample195.npz,approved,trainable,true,standard
signer0_sample197,eczane,1,58,AUTSL,AUTSL_OpenHands_pose_v1,signer0,dataset_license,train,AUTSL/train_poses/signer0_sample197_color.pkl,processed/autsl20/landmark46-v1/train/signer0_sample197.npz,approved,trainable,true,standard
