sample_id,class_id,model_index,original_class_id,source,source_version,signer_id,consent_id,split,raw_path,landmark_path,quality_status,training_status,manual_selectable,risk_tier
meb_aci_ref01,aci,,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_assumed,reference,meb/aci.mp4,processed/meb16/landmark46-v1/aci.npz,needs_review,reference_only,false,standard
meb_agri_ref01,agri,,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_assumed,reference,meb/agri.mp4,processed/meb16/landmark46-v1/agri.npz,approved,reference_only,true,standard
meb_astim_ref01,astim,,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_02,official_source_permission_assumed,reference,meb/astim.mp4,processed/meb16/landmark46-v1/astim.npz,approved,reference_only,true,standard
meb_ates_ref01,ates,,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_assumed,reference,meb/ates.mp4,processed/meb16/landmark46-v1/ates.npz,approved,reference_only,true,standard
meb_bas_ref01,bas,,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_03,official_source_permission_assumed,reference,meb/bas.mp4,processed/meb16/landmark46-v1/bas.npz,needs_review,reference_only,false,standard
meb_bas_donmesi_ref01,bas_donmesi,,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_assumed,reference,meb/bas-donmesi.mp4,processed/meb16/landmark46-v1/bas_donmesi.npz,approved,reference_only,true,standard
meb_dokuntu_alerji_ref01,dokuntu_alerji,,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_assumed,reference,meb/dokuntu-alerji-icin.mp4,processed/meb16/landmark46-v1/dokuntu_alerji.npz,approved,reference_only,true,standard
meb_grip_ref01,grip,,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_assumed,reference,meb/grip.mp4,processed/meb16/landmark46-v1/grip.npz,needs_review,reference_only,false,standard
meb_kalp_carpintisi_ref01,kalp_carpintisi,,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_assumed,reference,meb/kalp-carpintisi.mp4,processed/meb16/landmark46-v1/kalp_carpintisi.npz,needs_review,reference_only,true,standard
meb_kalp_krizi_ref01,kalp_krizi,,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_assumed,reference,meb/kalp-krizi.mp4,processed/meb16/landmark46-v1/kalp_krizi.npz,needs_review,reference_only,true,red_flag
meb_kanama_ref01,kanama,,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_assumed,reference,meb/kanama.mp4,processed/meb16/landmark46-v1/kanama.npz,approved,reference_only,true,red_flag
meb_kuduz_ref01,kuduz,,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_assumed,reference,meb/kuduz.mp4,processed/meb16/landmark46-v1/kuduz.npz,needs_review,reference_only,false,standard
meb_kusma_ref01,kusma,,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_assumed,reference,meb/kusma.mp4,processed/meb16/landmark46-v1/kusma.npz,needs_review,reference_only,true,standard
meb_oksurmek_ref01,oksurmek,,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_assumed,reference,meb/oksurmek.mp4,processed/meb16/landmark46-v1/oksurmek.npz,needs_review,reference_only,true,standard
meb_seker_hastaligi_ref01,seker_hastaligi,,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_assumed,reference,meb/seker-hastaligi.mp4,processed/meb16/landmark46-v1/seker_hastaligi.npz,needs_review,reference_only,true,standard
meb_yanik_ref01,yanik,,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_assumed,reference,meb/yanik.mp4,processed/meb16/landmark46-v1/yanik.npz,approved,reference_only,true,red_flag
