sample_id,class_id,model_index,original_class_id,source,source_version,signer_id,consent_id,split,raw_path,landmark_path,quality_status,training_status,manual_selectable,risk_tier,source_quality_status,quality_reason,source_url,downloaded_at,source_sha256,extractor,view,source_fps,source_frames,trim_start,trim_end,used_frames,active_hand,interpolated_hand_frames,raw_hand_frame_ratio,hand_frame_ratio,motion_score,review_overlay
meb_bas_donmesi_health01,dizziness,20,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/bas-donmesi.mp4,processed/meb_health11/landmark46-v1/meb_bas_donmesi_health01.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,0fa4ed94ab5493b9747740127cedadeaced32c36608b10de100c7fcb45e5f6dc,mediapipe-holistic-legacy,legacy-25fps,25.0,97,10,78,68,right,4,0.5361,0.8235,7.0709,
meb_bas_donmesi_web_10fps_p0,dizziness,20,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/bas-donmesi.mp4,processed/meb_health11/landmark46-v1/meb_bas_donmesi_web_10fps_p0.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,0fa4ed94ab5493b9747740127cedadeaced32c36608b10de100c7fcb45e5f6dc,mediapipe-tasks-web,web-10fps-p0,10.0,39,2,31,29,right,1,0.5641,0.7931,7.1414,
meb_bas_donmesi_web_10fps_p50,dizziness,20,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/bas-donmesi.mp4,processed/meb_health11/landmark46-v1/meb_bas_donmesi_web_10fps_p50.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,0fa4ed94ab5493b9747740127cedadeaced32c36608b10de100c7fcb45e5f6dc,mediapipe-tasks-web,web-10fps-p50,10.0,39,3,33,30,right,2,0.5641,0.8,8.1309,
meb_bas_donmesi_web_25fps_p0,dizziness,20,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/bas-donmesi.mp4,processed/meb_health11/landmark46-v1/meb_bas_donmesi_web_25fps_p0.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,0fa4ed94ab5493b9747740127cedadeaced32c36608b10de100c7fcb45e5f6dc,mediapipe-tasks-web,web-25fps-p0,25.0,97,10,78,68,right,8,0.5567,0.9118,10.1539,
meb_ates_health01,fever,21,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/ates.mp4,processed/meb_health11/landmark46-v1/meb_ates_health01.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,d7fcae76461bf4bea381d82f18a3d0acd80c38600dc170877f6e28f740859fed,mediapipe-holistic-legacy,legacy-25fps,25.0,82,9,61,52,right,1,0.561,0.8846,5.0166,
meb_ates_web_10fps_p0,fever,21,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/ates.mp4,processed/meb_health11/landmark46-v1/meb_ates_web_10fps_p0.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,d7fcae76461bf4bea381d82f18a3d0acd80c38600dc170877f6e28f740859fed,mediapipe-tasks-web,web-10fps-p0,10.0,33,2,27,25,right,0,0.5758,0.76,4.0219,
meb_ates_web_10fps_p50,fever,21,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/ates.mp4,processed/meb_health11/landmark46-v1/meb_ates_web_10fps_p50.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,d7fcae76461bf4bea381d82f18a3d0acd80c38600dc170877f6e28f740859fed,mediapipe-tasks-web,web-10fps-p50,10.0,33,2,26,24,right,1,0.5152,0.75,3.8118,
meb_ates_web_25fps_p0,fever,21,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/ates.mp4,processed/meb_health11/landmark46-v1/meb_ates_web_25fps_p0.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,d7fcae76461bf4bea381d82f18a3d0acd80c38600dc170877f6e28f740859fed,mediapipe-tasks-web,web-25fps-p0,25.0,82,10,62,52,right,1,0.561,0.8846,4.6696,
meb_agri_health01,pain,22,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/agri.mp4,processed/meb_health11/landmark46-v1/meb_agri_health01.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,fedbf2391bc990b07f4d993742705f5cebaea22772360953fa40eb7b89e65677,mediapipe-holistic-legacy,legacy-25fps,25.0,87,7,67,60,right,6,0.5517,0.9,6.6237,
meb_agri_web_10fps_p0,pain,22,,MEB,MEB_Saglik_Tematik_Sozluk_2026-09,meb_official_01,official_source_permission_unverified,train,meb/agri.mp4,processed/meb_health11/landmark46-v1/meb_agri_web_10fps_p0.npz,approved,trainable,true,standard,approved,ok,https://orgm.meb.gov.tr/icdep/saglik-tematik-sozlukleri-107,2026-09-04,fedbf2391bc990b07f4d993742705f5cebaea22772360953fa40eb7b89e65677,mediapipe-tasks-web,web-10fps-p0,10.0,35,1,27,26,right,1,0.5429,0.7692,4.4356,
